case,variant,rows,k,q,columns,reversed,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high
reversed,scalar_prevalidated,32,16,16,32,1,5,512,38295200,74795.3125,2764.5,77597.0703125,77315.407986111109,1482.6647651949474,75941.471970363797,78689.344001858422
reversed,scalar_prevalidated,32,16,16,32,1,6,512,40818800,79724.21875,2727.6399999999999,77597.0703125,77315.407986111109,1482.6647651949474,75941.471970363797,78689.344001858422
reversed,scalar_prevalidated,32,16,16,32,1,7,512,39021700,76214.2578125,2801.3600000000001,77597.0703125,77315.407986111109,1482.6647651949474,75941.471970363797,78689.344001858422
reversed,scalar_prevalidated,32,16,16,32,1,8,512,40192300,78500.5859375,2801.3600000000001,77597.0703125,77315.407986111109,1482.6647651949474,75941.471970363797,78689.344001858422
cutoff,tensor_dot_serial,64,8,32,64,0,0,64,26401500,412523.4375,2911.9400000000001,412523.4375,418073.09027777775,11868.120251613105,407075.29884461628,429070.88171093923
cutoff,tensor_dot_serial,64,8,32,64,0,1,64,27539500,430304.6875,2727.6399999999999,412523.4375,418073.09027777775,11868.120251613105,407075.29884461628,429070.88171093923
cutoff,tensor_dot_serial,64,8,32,64,0,2,64,26093500,407710.9375,3464.8399999999997,412523.4375,418073.09027777775,11868.120251613105,407075.29884461628,429070.88171093923
cutoff,tensor_dot_serial,64,8,32,64,0,3,64,26285900,410717.1875,2838.2200000000003,412523.4375,418073.09027777775,11868.120251613105,407075.29884461628,429070.88171093923
cutoff,tensor_dot_serial,64,8,32,64,0,4,64,26363300,411926.5625,3059.3799999999997,412523.4375,418073.09027777775,11868.120251613105,407075.29884461628,429070.88171093923
cutoff,tensor_dot_serial,64,8,32,64,0,5,64,26344700,411635.9375,3501.6999999999998,412523.4375,418073.09027777775,11868.120251613105,407075.29884461628,429070.88171093923
cutoff,tensor_dot_serial,64,8,32,64,0,6,64,28451800,444559.375,2911.9400000000001,412523.4375,418073.09027777775,11868.120251613105,407075.29884461628,429070.88171093923
cutoff,tensor_dot_serial,64,8,32,64,0,7,64,26652500,416445.3125,2985.6600000000003,412523.4375,418073.09027777775,11868.120251613105,407075.29884461628,429070.88171093923
cutoff,tensor_dot_serial,64,8,32,64,0,8,64,26677400,416834.375,3612.2799999999997,412523.4375,418073.09027777775,11868.120251613105,407075.29884461628,429070.88171093923
cutoff,context_default,64,8,32,64,0,0,256,33075900,129202.734375,2875.0799999999999,131978.125,134538.36805555556,8261.3384285101092,126882.86111180286,142193.87499930826
cutoff,context_default,64,8,32,64,0,1,256,34184900,133534.765625,2911.9400000000001,131978.125,134538.36805555556,8261.3384285101092,126882.86111180286,142193.87499930826
cutoff,context_default,64,8,32,64,0,2,256,33786400,131978.125,3243.6799999999998,131978.125,134538.36805555556,8261.3384285101092,126882.86111180286,142193.87499930826
cutoff,context_default,64,8,32,64,0,3,256,33166900,129558.203125,2911.9400000000001,131978.125,134538.36805555556,8261.3384285101092,126882.86111180286,142193.87499930826
cutoff,context_default,64,8,32,64,0,4,256,33982000,132742.1875,2911.9400000000001,131978.125,134538.36805555556,8261.3384285101092,126882.86111180286,142193.87499930826
cutoff,context_default,64,8,32,64,0,5,256,33098100,129289.453125,3686,131978.125,134538.36805555556,8261.3384285101092,126882.86111180286,142193.87499930826
cutoff,context_default,64,8,32,64,0,6,256,39761000,155316.40625,2690.7799999999997,131978.125,134538.36805555556,8261.3384285101092,126882.86111180286,142193.87499930826
