case,variant,rows,k,q,columns,reversed,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high
cutoff,tensor_dot_serial,64,8,32,64,0,6,2,24579700,12289850,2948.8000000000002,12077950,11948461.111111112,312814.35466760647,11658586.475785797,12238335.746436426
cutoff,tensor_dot_serial,64,8,32,64,0,7,2,24155900,12077950,2875.0799999999999,12077950,11948461.111111112,312814.35466760647,11658586.475785797,12238335.746436426
cutoff,tensor_dot_serial,64,8,32,64,0,8,2,23205200,11602600,2875.0799999999999,12077950,11948461.111111112,312814.35466760647,11658586.475785797,12238335.746436426
cutoff,context_default,64,8,32,64,0,0,8,25931700,3241462.5,2801.3600000000001,3239800,3254358.3333333335,97234.450275159674,3164254.4094116855,3344462.2572549814
cutoff,context_default,64,8,32,64,0,1,8,25918400,3239800,2764.5,3239800,3254358.3333333335,97234.450275159674,3164254.4094116855,3344462.2572549814
cutoff,context_default,64,8,32,64,0,2,8,25140300,3142537.5,2838.2200000000003,3239800,3254358.3333333335,97234.450275159674,3164254.4094116855,3344462.2572549814
cutoff,context_default,64,8,32,64,0,3,8,27760500,3470062.5,2875.0799999999999,3239800,3254358.3333333335,97234.450275159674,3164254.4094116855,3344462.2572549814
cutoff,context_default,64,8,32,64,0,4,8,25316400,3164550,3538.5599999999999,3239800,3254358.3333333335,97234.450275159674,3164254.4094116855,3344462.2572549814
cutoff,context_default,64,8,32,64,0,5,8,25594900,3199362.5,2875.0799999999999,3239800,3254358.3333333335,97234.450275159674,3164254.4094116855,3344462.2572549814
cutoff,context_default,64,8,32,64,0,6,8,26304700,3288087.5,2580.1999999999998,3239800,3254358.3333333335,97234.450275159674,3164254.4094116855,3344462.2572549814
cutoff,context_default,64,8,32,64,0,7,8,25843700,3230462.5,2875.0799999999999,3239800,3254358.3333333335,97234.450275159674,3164254.4094116855,3344462.2572549814
cutoff,context_default,64,8,32,64,0,8,8,26503200,3312900,2875.0799999999999,3239800,3254358.3333333335,97234.450275159674,3164254.4094116855,3344462.2572549814
cutoff,context_forced,64,8,32,64,0,0,8,25288300,3161037.5,2838.2200000000003,3178725,3181733.3333333335,56895.747246059611,3129009.9408853184,3234456.7257813485
cutoff,context_forced,64,8,32,64,0,1,8,26232500,3279062.5,2801.3600000000001,3178725,3181733.3333333335,56895.747246059611,3129009.9408853184,3234456.7257813485
cutoff,context_forced,64,8,32,64,0,2,8,25212700,3151587.5,3280.54,3178725,3181733.3333333335,56895.747246059611,3129009.9408853184,3234456.7257813485
cutoff,context_forced,64,8,32,64,0,3,8,25514500,3189312.5,2875.0799999999999,3178725,3181733.3333333335,56895.747246059611,3129009.9408853184,3234456.7257813485
cutoff,context_forced,64,8,32,64,0,4,8,24558300,3069787.5,2801.3600000000001,3178725,3181733.3333333335,56895.747246059611,3129009.9408853184,3234456.7257813485
cutoff,context_forced,64,8,32,64,0,5,8,25393200,3174150,2911.9400000000001,3178725,3181733.3333333335,56895.747246059611,3129009.9408853184,3234456.7257813485
cutoff,context_forced,64,8,32,64,0,6,8,25429800,3178725,2875.0799999999999,3178725,3181733.3333333335,56895.747246059611,3129009.9408853184,3234456.7257813485
cutoff,context_forced,64,8,32,64,0,7,8,25780500,3222562.5,2838.2200000000003,3178725,3181733.3333333335,56895.747246059611,3129009.9408853184,3234456.7257813485
cutoff,context_forced,64,8,32,64,0,8,8,25675000,3209375,2838.2200000000003,3178725,3181733.3333333335,56895.747246059611,3129009.9408853184,3234456.7257813485
cutoff,scalar_prevalidated,64,8,32,64,0,0,64,22733800,355215.625,2838.2200000000003,355215.625,358021.35416666669,8273.2758261469698,350354.78523443715,365687.92309889622
cutoff,scalar_prevalidated,64,8,32,64,0,1,64,22678300,354348.4375,2801.3600000000001,355215.625,358021.35416666669,8273.2758261469698,350354.78523443715,365687.92309889622
cutoff,scalar_prevalidated,64,8,32,64,0,2,64,22271100,347985.9375,2838.2200000000003,355215.625,358021.35416666669,8273.2758261469698,350354.78523443715,365687.92309889622
cutoff,scalar_prevalidated,64,8,32,64,0,3,64,23485700,366964.0625,3280.54,355215.625,358021.35416666669,8273.2758261469698,350354.78523443715,365687.92309889622
cutoff,scalar_prevalidated,64,8,32,64,0,4,64,23183900,362248.4375,2764.5,355215.625,358021.35416666669,8273.2758261469698,350354.78523443715,365687.92309889622
cutoff,scalar_prevalidated,64,8,32,64,0,5,64,23877700,373089.0625,2875.0799999999999,355215.625,358021.35416666669,8273.2758261469698,350354.78523443715,365687.92309889622
cutoff,scalar_prevalidated,64,8,32,64,0,6,64,22581300,352832.8125,2580.1999999999998,355215.625,358021.35416666669,8273.2758261469698,350354.78523443715,365687.92309889622
cutoff,scalar_prevalidated,64,8,32,64,0,7,64,22376800,349637.5,2875.0799999999999,355215.625,358021.35416666669,8273.2758261469698,350354.78523443715,365687.92309889622
cutoff,scalar_prevalidated,64,8,32,64,0,8,64,23031700,359870.3125,2875.0799999999999,355215.625,358021.35416666669,8273.2758261469698,350354.78523443715,365687.92309889622
scalar_output,tensor_dot_serial,1,64,64,1,0,0,512,25608300,50016.2109375,2801.3600000000001,47674.609375,48116.623263888891,965.07228325847359,47222.32294806937,49010.923579708411
scalar_output,tensor_dot_serial,1,64,64,1,0,1,512,25260500,49336.9140625,2875.0799999999999,47674.609375,48116.623263888891,965.07228325847359,47222.32294806937,49010.923579708411
scalar_output,tensor_dot_serial,1,64,64,1,0,2,512,24222600,47309.765625,2875.0799999999999,47674.609375,48116.623263888891,965.07228325847359,47222.32294806937,49010.923579708411
