case,variant,workers,callers,grain,rows,inner,columns,batches,nested,padded,pool_spin_us,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high,throughput_calls_s
near_cutoff48,serial,4,1,16,48,48,48,1,0,0,0,7,2048,26480500,12929.931640625,2875.0799999999999,13005.46875,13021.202256944445,164.67376510156834,12868.604567950326,13173.799945938565,76890.731062653926
near_cutoff48,serial,4,1,16,48,48,48,1,0,0,0,8,2048,27491400,13423.53515625,2838.2200000000003,13005.46875,13021.202256944445,164.67376510156834,12868.604567950326,13173.799945938565,76890.731062653926
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,0,2048,27623900,13488.232421875,2653.9200000000001,12945.01953125,13134.787326388889,341.19741054779405,12818.611059281266,13450.963593496512,77249.78688413286
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,1,2048,26342700,12862.646484375,2764.5,12945.01953125,13134.787326388889,341.19741054779405,12818.611059281266,13450.963593496512,77249.78688413286
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,2,2048,26345200,12863.8671875,2838.2200000000003,12945.01953125,13134.787326388889,341.19741054779405,12818.611059281266,13450.963593496512,77249.78688413286
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,3,2048,26506100,12942.431640625,2690.7799999999997,12945.01953125,13134.787326388889,341.19741054779405,12818.611059281266,13450.963593496512,77249.78688413286
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,4,2048,26511400,12945.01953125,2653.9200000000001,12945.01953125,13134.787326388889,341.19741054779405,12818.611059281266,13450.963593496512,77249.78688413286
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,5,2048,26592600,12984.66796875,2838.2200000000003,12945.01953125,13134.787326388889,341.19741054779405,12818.611059281266,13450.963593496512,77249.78688413286
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,6,2048,27372200,13365.33203125,2727.6399999999999,12945.01953125,13134.787326388889,341.19741054779405,12818.611059281266,13450.963593496512,77249.78688413286
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,7,2048,28307000,13821.77734375,2764.5,12945.01953125,13134.787326388889,341.19741054779405,12818.611059281266,13450.963593496512,77249.78688413286
near_cutoff48,context_default,4,1,16,48,48,48,1,0,0,0,8,2048,26499300,12939.111328125,2911.9400000000001,12945.01953125,13134.787326388889,341.19741054779405,12818.611059281266,13450.963593496512,77249.78688413286
near_cutoff48,context_forced,4,1,16,48,48,48,1,0,0,0,0,1024,21802000,21291.015625,2432.7600000000002,25502.34375,26098.621961805555,3973.3160261949597,22416.682444198224,29780.561479412885,39212.082222834913
near_cutoff48,context_forced,4,1,16,48,48,48,1,0,0,0,1,1024,22632600,22102.1484375,2690.7799999999997,25502.34375,26098.621961805555,3973.3160261949597,22416.682444198224,29780.561479412885,39212.082222834913
near_cutoff48,context_forced,4,1,16,48,48,48,1,0,0,0,2,1024,32302800,31545.703125,2690.7799999999997,25502.34375,26098.621961805555,3973.3160261949597,22416.682444198224,29780.561479412885,39212.082222834913
near_cutoff48,context_forced,4,1,16,48,48,48,1,0,0,0,3,1024,23570000,23017.578125,2764.5,25502.34375,26098.621961805555,3973.3160261949597,22416.682444198224,29780.561479412885,39212.082222834913
near_cutoff48,context_forced,4,1,16,48,48,48,1,0,0,0,4,1024,32176300,31422.16796875,2764.5,25502.34375,26098.621961805555,3973.3160261949597,22416.682444198224,29780.561479412885,39212.082222834913
near_cutoff48,context_forced,4,1,16,48,48,48,1,0,0,0,5,1024,28147800,27488.0859375,2838.2200000000003,25502.34375,26098.621961805555,3973.3160261949597,22416.682444198224,29780.561479412885,39212.082222834913
near_cutoff48,context_forced,4,1,16,48,48,48,1,0,0,0,6,1024,23871600,23312.109375,2543.3399999999997,25502.34375,26098.621961805555,3973.3160261949597,22416.682444198224,29780.561479412885,39212.082222834913
near_cutoff48,context_forced,4,1,16,48,48,48,1,0,0,0,7,1024,29907400,29206.4453125,2875.0799999999999,25502.34375,26098.621961805555,3973.3160261949597,22416.682444198224,29780.561479412885,39212.082222834913
near_cutoff48,context_forced,4,1,16,48,48,48,1,0,0,0,8,1024,26114400,25502.34375,2838.2200000000003,25502.34375,26098.621961805555,3973.3160261949597,22416.682444198224,29780.561479412885,39212.082222834913
square16/workers4,serial,4,1,32,16,16,16,1,0,0,0,0,32768,45723700,1395.3765869140625,2690.7799999999997,1053.9886474609375,1123.0150010850693,270.28391113633319,872.55191009873397,1373.4780920714047,948776.82260525634
square16/workers4,serial,4,1,32,16,16,16,1,0,0,0,1,32768,31584700,963.8885498046875,2764.5,1053.9886474609375,1123.0150010850693,270.28391113633319,872.55191009873397,1373.4780920714047,948776.82260525634
square16/workers4,serial,4,1,32,16,16,16,1,0,0,0,2,32768,29671500,905.5023193359375,2506.48,1053.9886474609375,1123.0150010850693,270.28391113633319,872.55191009873397,1373.4780920714047,948776.82260525634
square16/workers4,serial,4,1,32,16,16,16,1,0,0,0,3,32768,34537100,1053.9886474609375,2948.8000000000002,1053.9886474609375,1123.0150010850693,270.28391113633319,872.55191009873397,1373.4780920714047,948776.82260525634
square16/workers4,serial,4,1,32,16,16,16,1,0,0,0,4,32768,42878400,1308.544921875,2764.5,1053.9886474609375,1123.0150010850693,270.28391113633319,872.55191009873397,1373.4780920714047,948776.82260525634
square16/workers4,serial,4,1,32,16,16,16,1,0,0,0,5,32768,27247000,831.512451171875,2690.7799999999997,1053.9886474609375,1123.0150010850693,270.28391113633319,872.55191009873397,1373.4780920714047,948776.82260525634
square16/workers4,serial,4,1,32,16,16,16,1,0,0,0,6,32768,40037100,1221.8353271484375,2690.7799999999997,1053.9886474609375,1123.0150010850693,270.28391113633319,872.55191009873397,1373.4780920714047,948776.82260525634
square16/workers4,serial,4,1,32,16,16,16,1,0,0,0,7,32768,27333800,834.161376953125,2727.6399999999999,1053.9886474609375,1123.0150010850693,270.28391113633319,872.55191009873397,1373.4780920714047,948776.82260525634
square16/workers4,serial,4,1,32,16,16,16,1,0,0,0,8,32768,52177300,1592.3248291015625,2653.9200000000001,1053.9886474609375,1123.0150010850693,270.28391113633319,872.55191009873397,1373.4780920714047,948776.82260525634
square16/workers4,context_default,4,1,32,16,16,16,1,0,0,0,0,32768,43285700,1320.9747314453125,2764.5,1285.0128173828125,1237.0530870225693,306.6114989084669,952.92643136739002,1521.1797426777487,778202.35446110298
square16/workers4,context_default,4,1,32,16,16,16,1,0,0,0,1,32768,49255700,1503.1646728515625,2653.9200000000001,1285.0128173828125,1237.0530870225693,306.6114989084669,952.92643136739002,1521.1797426777487,778202.35446110298
square16/workers4,context_default,4,1,32,16,16,16,1,0,0,0,2,32768,50914700,1553.7933349609375,2838.2200000000003,1285.0128173828125,1237.0530870225693,306.6114989084669,952.92643136739002,1521.1797426777487,778202.35446110298
square16/workers4,context_default,4,1,32,16,16,16,1,0,0,0,3,32768,42107300,1285.0128173828125,2838.2200000000003,1285.0128173828125,1237.0530870225693,306.6114989084669,952.92643136739002,1521.1797426777487,778202.35446110298
square16/workers4,context_default,4,1,32,16,16,16,1,0,0,0,4,32768,53100000,1620.4833984375,2948.8000000000002,1285.0128173828125,1237.0530870225693,306.6114989084669,952.92643136739002,1521.1797426777487,778202.35446110298
square16/workers4,context_default,4,1,32,16,16,16,1,0,0,0,5,32768,26400500,805.6793212890625,2359.04,1285.0128173828125,1237.0530870225693,306.6114989084669,952.92643136739002,1521.1797426777487,778202.35446110298
square16/workers4,context_default,4,1,32,16,16,16,1,0,0,0,6,32768,39924900,1218.4112548828125,2690.7799999999997,1285.0128173828125,1237.0530870225693,306.6114989084669,952.92643136739002,1521.1797426777487,778202.35446110298
