case,variant,workers,callers,grain,rows,inner,columns,batches,nested,padded,pool_spin_us,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high,throughput_calls_s
grain8,context_default,4,1,8,128,128,128,1,0,0,0,0,64,17164300,268192.1875,2985.6600000000003,263428.125,273496.35416666669,31478.300699322896,244326.46218529413,302666.24614803924,3796.1018778841476
grain8,context_default,4,1,8,128,128,128,1,0,0,0,1,64,15647800,244496.875,2875.0799999999999,263428.125,273496.35416666669,31478.300699322896,244326.46218529413,302666.24614803924,3796.1018778841476
grain8,context_default,4,1,8,128,128,128,1,0,0,0,2,64,16168000,252625,3538.5599999999999,263428.125,273496.35416666669,31478.300699322896,244326.46218529413,302666.24614803924,3796.1018778841476
grain8,context_default,4,1,8,128,128,128,1,0,0,0,3,64,16859400,263428.125,3354.2600000000002,263428.125,273496.35416666669,31478.300699322896,244326.46218529413,302666.24614803924,3796.1018778841476
grain8,context_default,4,1,8,128,128,128,1,0,0,0,4,64,22244200,347565.625,2911.9400000000001,263428.125,273496.35416666669,31478.300699322896,244326.46218529413,302666.24614803924,3796.1018778841476
grain8,context_default,4,1,8,128,128,128,1,0,0,0,5,64,18598500,290601.5625,2985.6600000000003,263428.125,273496.35416666669,31478.300699322896,244326.46218529413,302666.24614803924,3796.1018778841476
grain8,context_default,4,1,8,128,128,128,1,0,0,0,6,64,16180000,252812.5,3096.2399999999998,263428.125,273496.35416666669,31478.300699322896,244326.46218529413,302666.24614803924,3796.1018778841476
grain8,context_default,4,1,8,128,128,128,1,0,0,0,7,64,16551300,258614.0625,3169.96,263428.125,273496.35416666669,31478.300699322896,244326.46218529413,302666.24614803924,3796.1018778841476
grain8,context_default,4,1,8,128,128,128,1,0,0,0,8,64,18120400,283131.25,2580.1999999999998,263428.125,273496.35416666669,31478.300699322896,244326.46218529413,302666.24614803924,3796.1018778841476
grain8,context_forced,4,1,8,128,128,128,1,0,0,0,0,128,30836700,240911.71875,2985.6600000000003,276062.5,280935.41666666669,28265.876869947813,254742.37076718171,307128.46256615163,3622.368123160516
grain8,context_forced,4,1,8,128,128,128,1,0,0,0,1,128,32283500,252214.84375,2875.0799999999999,276062.5,280935.41666666669,28265.876869947813,254742.37076718171,307128.46256615163,3622.368123160516
grain8,context_forced,4,1,8,128,128,128,1,0,0,0,2,128,42503800,332060.9375,3538.5599999999999,276062.5,280935.41666666669,28265.876869947813,254742.37076718171,307128.46256615163,3622.368123160516
grain8,context_forced,4,1,8,128,128,128,1,0,0,0,3,128,35205800,275045.3125,3169.96,276062.5,280935.41666666669,28265.876869947813,254742.37076718171,307128.46256615163,3622.368123160516
grain8,context_forced,4,1,8,128,128,128,1,0,0,0,4,128,35336000,276062.5,2985.6600000000003,276062.5,280935.41666666669,28265.876869947813,254742.37076718171,307128.46256615163,3622.368123160516
grain8,context_forced,4,1,8,128,128,128,1,0,0,0,5,128,34069400,266167.1875,3391.1200000000003,276062.5,280935.41666666669,28265.876869947813,254742.37076718171,307128.46256615163,3622.368123160516
grain8,context_forced,4,1,8,128,128,128,1,0,0,0,6,128,39508300,308658.59375,3096.2399999999998,276062.5,280935.41666666669,28265.876869947813,254742.37076718171,307128.46256615163,3622.368123160516
grain8,context_forced,4,1,8,128,128,128,1,0,0,0,7,128,35709400,278979.6875,3243.6799999999998,276062.5,280935.41666666669,28265.876869947813,254742.37076718171,307128.46256615163,3622.368123160516
grain8,context_forced,4,1,8,128,128,128,1,0,0,0,8,128,38184700,298317.96875,2875.0799999999999,276062.5,280935.41666666669,28265.876869947813,254742.37076718171,307128.46256615163,3622.368123160516
small_grain32,serial,4,1,1,32,32,32,1,0,0,0,0,1024,13652800,13332.8125,2948.8000000000002,13351.07421875,13854.00390625,743.87977173187744,13164.675317778459,14543.332494721541,74900.34012361482
small_grain32,serial,4,1,1,32,32,32,1,0,0,0,1,1024,15187700,14831.73828125,2580.1999999999998,13351.07421875,13854.00390625,743.87977173187744,13164.675317778459,14543.332494721541,74900.34012361482
small_grain32,serial,4,1,1,32,32,32,1,0,0,0,2,1024,13647700,13327.83203125,2506.48,13351.07421875,13854.00390625,743.87977173187744,13164.675317778459,14543.332494721541,74900.34012361482
small_grain32,serial,4,1,1,32,32,32,1,0,0,0,3,1024,15258400,14900.78125,2617.0599999999999,13351.07421875,13854.00390625,743.87977173187744,13164.675317778459,14543.332494721541,74900.34012361482
small_grain32,serial,4,1,1,32,32,32,1,0,0,0,4,1024,13650200,13330.2734375,3354.2600000000002,13351.07421875,13854.00390625,743.87977173187744,13164.675317778459,14543.332494721541,74900.34012361482
small_grain32,serial,4,1,1,32,32,32,1,0,0,0,5,1024,15152500,14797.36328125,3280.54,13351.07421875,13854.00390625,743.87977173187744,13164.675317778459,14543.332494721541,74900.34012361482
small_grain32,serial,4,1,1,32,32,32,1,0,0,0,6,1024,13656400,13336.328125,3133.0999999999999,13351.07421875,13854.00390625,743.87977173187744,13164.675317778459,14543.332494721541,74900.34012361482
small_grain32,serial,4,1,1,32,32,32,1,0,0,0,7,1024,13671500,13351.07421875,2911.9400000000001,13351.07421875,13854.00390625,743.87977173187744,13164.675317778459,14543.332494721541,74900.34012361482
small_grain32,serial,4,1,1,32,32,32,1,0,0,0,8,1024,13801300,13477.83203125,2801.3600000000001,13351.07421875,13854.00390625,743.87977173187744,13164.675317778459,14543.332494721541,74900.34012361482
small_grain32,context_default,4,1,1,32,32,32,1,0,0,0,0,1024,13550200,13232.6171875,2911.9400000000001,13606.25,13704.307725694445,437.8158585665164,13298.598363422807,14110.017087966084,73495.636196600826
small_grain32,context_default,4,1,1,32,32,32,1,0,0,0,1,1024,13941500,13614.74609375,2580.1999999999998,13606.25,13704.307725694445,437.8158585665164,13298.598363422807,14110.017087966084,73495.636196600826
small_grain32,context_default,4,1,1,32,32,32,1,0,0,0,2,1024,13969300,13641.89453125,2506.48,13606.25,13704.307725694445,437.8158585665164,13298.598363422807,14110.017087966084,73495.636196600826
small_grain32,context_default,4,1,1,32,32,32,1,0,0,0,3,1024,13940600,13613.8671875,2617.0599999999999,13606.25,13704.307725694445,437.8158585665164,13298.598363422807,14110.017087966084,73495.636196600826
small_grain32,context_default,4,1,1,32,32,32,1,0,0,0,4,1024,13930100,13603.61328125,3354.2600000000002,13606.25,13704.307725694445,437.8158585665164,13298.598363422807,14110.017087966084,73495.636196600826
small_grain32,context_default,4,1,1,32,32,32,1,0,0,0,5,1024,15178100,14822.36328125,3317.4000000000001,13606.25,13704.307725694445,437.8158585665164,13298.598363422807,14110.017087966084,73495.636196600826
small_grain32,context_default,4,1,1,32,32,32,1,0,0,0,6,1024,13925100,13598.73046875,3059.3799999999997,13606.25,13704.307725694445,437.8158585665164,13298.598363422807,14110.017087966084,73495.636196600826
small_grain32,context_default,4,1,1,32,32,32,1,0,0,0,7,1024,13931200,13604.6875,2911.9400000000001,13606.25,13704.307725694445,437.8158585665164,13298.598363422807,14110.017087966084,73495.636196600826
small_grain32,context_default,4,1,1,32,32,32,1,0,0,0,8,1024,13932800,13606.25,2985.6600000000003,13606.25,13704.307725694445,437.8158585665164,13298.598363422807,14110.017087966084,73495.636196600826
