schema_version,timestamp,benchmark,case,implementation,unit,median,mean,stddev,ci95_mean_low,ci95_mean_high,result_allocations,result_bytes,platform,compiler,cpu_context,seed,warmup,batches,target_work,min_batch_ms,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,dtype,inputs,output,quick,scope,stabilize,cooldown,cache_regime,work_per_call,statistics_kind
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,6,320000,32719800,102.249375,2764.5,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,7,320000,32626100,101.9565625,2875.0799999999999,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,8,320000,33170400,103.6575,2875.0799999999999,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,9,320000,34006900,106.2715625,3317.4000000000001,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,10,320000,32789600,102.4675,2801.3600000000001,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,11,320000,33004400,103.13875,2875.0799999999999,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,12,320000,33108100,103.4628125,2875.0799999999999,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,13,320000,34050700,106.40843750000001,3059.3799999999997,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,14,320000,32755900,102.3621875,2985.6600000000003,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,allocation_only,ns/call,98.287812500000001,119.40293749999999,55.395568544232205,88.794358508628264,150.01151649137171,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,0,320000,82432900,257.60281250000003,2838.2200000000003,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
